dataset,variable,count,mean,std,min,25%,50%,75%,max,median,IQR,missing_count,missing_pct
participants,participant_id,1000.0,499.5,288.8194360957494,0.0,249.75,499.5,749.25,999.0,499.5,499.5,0,0.0
participants,age,1000.0,42.201,14.04257073305286,18.0,30.0,42.0,55.0,65.0,42.0,25.0,0,0.0
participants,baseline_phq_score,1000.0,14.849,3.829734438034296,8.0,12.0,15.0,17.0,27.0,15.0,5.0,0,0.0
participants,final_week12_PHQ_score,1000.0,6.9037999999999995,4.782649819848752,0.0,3.2,6.5,10.2,24.6,6.5,6.999999999999999,0,0.0
participants,final_change_from_baseline,1000.0,-7.945200000000001,3.364942763227898,-14.8,-10.8,-8.0,-5.6,0.5,-8.0,5.200000000000001,0,0.0
participants,final_percent_change_from_baseline,1000.0,56.52582,26.180729193601707,-3.0,36.88,56.415,76.43,100.0,56.415,39.550000000000004,0,0.0
participants,time_to_response_weeks,591.0,8.720812182741117,2.580544552356883,2.0,6.0,8.0,10.0,12.0,8.0,4.0,409,40.9
participants,sustained_improvement_flag,1000.0,0.556,0.4971027168615267,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
daily_data,participant_id,85000.0,499.5,288.67668836037075,0.0,249.75,499.5,749.25,999.0,499.5,499.5,0,0.0
daily_data,study_day,85000.0,42.0,24.53583262162228,0.0,21.0,42.0,63.0,84.0,42.0,42.0,0,0.0
daily_data,week,85000.0,5.576470588235294,3.5025456439944107,0.0,3.0,6.0,9.0,12.0,6.0,6.0,0,0.0
daily_data,day_of_week,85000.0,2.9647058823529413,2.014354882199992,0.0,1.0,3.0,5.0,6.0,3.0,4.0,0,0.0
daily_data,is_weekend,85000.0,0.2823529411764706,0.4501468001585888,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0.0
daily_data,life_event_flag,85000.0,0.03255294117647059,0.17746441251806339,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
daily_data,ema_anhedonia,85000.0,2.068,0.7700538788099888,0.0,2.0,2.0,3.0,4.0,2.0,1.0,0,0.0
daily_data,ema_energy,85000.0,2.8964470588235294,0.7747722798941361,0.0,2.0,3.0,3.0,4.0,3.0,1.0,0,0.0
daily_data,ema_stress,85000.0,1.9451764705882353,0.7268550358843257,0.0,1.0,2.0,2.0,4.0,2.0,1.0,0,0.0
daily_data,sleep_efficiency,84999.0,0.7213742396969375,0.05141298829100888,0.496,0.686,0.721,0.756,0.906,0.721,0.06999999999999995,1,0.0011764705882352942
daily_data,WASO_min,84999.0,50.03755691243426,11.66584985995415,5.0,42.0,49.7,57.6,113.6,49.7,15.600000000000001,1,0.0011764705882352942
daily_data,avg_hrv,85000.0,42.906648235294114,6.081929031196073,18.6,38.8,42.8,47.0,68.2,42.8,8.200000000000003,0,0.0
daily_data,resting_hr,85000.0,71.78989647058825,3.5278429816416392,57.1,69.4,71.8,74.2,90.1,71.8,4.799999999999997,0,0.0
daily_data,steps,85000.0,6254.697023529412,1345.794793622728,800.0,5314.75,6217.0,7161.0,11825.0,6217.0,1846.25,0,0.0
daily_data,sedentary_min,85000.0,639.4838235294118,88.90888068833158,295.0,580.0,644.0,702.0,1016.0,644.0,122.0,0,0.0
daily_data,time_at_home,85000.0,13.486361882352941,1.4941345470029028,7.17,12.48,13.47,14.48,20.94,13.47,2.0,0,0.0
daily_data,location_entropy,85000.0,1.2761743411764706,0.30465548597416686,0.076,1.064,1.262,1.48,2.498,1.262,0.4159999999999999,0,0.0
daily_data,distance_traveled_km,85000.0,6.56129705882353,1.9683652093010104,0.0,5.2,6.52,7.89,14.51,6.52,2.6899999999999995,0,0.0
daily_data,bedtime_variability_min,85000.0,74.19999647058823,14.199363420661006,23.0,64.4,74.1,83.8,131.6,74.1,19.39999999999999,0,0.0
daily_data,wake_variability_min,85000.0,67.31888588235294,13.59922105524749,19.9,57.9,67.2,76.5,127.3,67.2,18.6,0,0.0
daily_data,screen_time,85000.0,4.710280000000001,0.5723386133430035,1.57,4.32,4.7,5.09,7.53,4.7,0.7699999999999996,0,0.0
daily_data,night_screen_time,85000.0,2.0655591764705887,0.41339902844444687,0.87,1.77,2.02,2.34,3.83,2.02,0.5699999999999998,0,0.0
daily_data,app_sessions_total,85000.0,52.393235294117645,6.867195907461492,27.0,48.0,52.0,57.0,84.0,52.0,9.0,0,0.0
