dataset,variable,expected_min,expected_max,observed_min,observed_max,below_expected,above_expected,total_non_missing,out_of_range_pct
participants,baseline_phq_score,0,27,8.0,27.0,0,0,1000,0.0
daily_data,sleep_efficiency,0,100,0.496,0.906,0,0,84999,0.0
daily_data,WASO_min,0,300,5.0,113.6,0,0,84999,0.0
daily_data,steps,0,30000,800.0,11825.0,0,0,85000,0.0
daily_data,sedentary_min,0,1440,295.0,1016.0,0,0,85000,0.0
daily_data,avg_hrv,0,200,18.6,68.2,0,0,85000,0.0
daily_data,resting_hr,35,140,57.1,90.1,0,0,85000,0.0
daily_data,time_at_home,0,1440,7.17,20.94,0,0,85000,0.0
daily_data,location_entropy,0,5,0.076,2.498,0,0,85000,0.0
daily_data,night_screen_time,0,600,0.87,3.83,0,0,85000,0.0
daily_data,screen_time,0,1440,1.57,7.53,0,0,85000,0.0
daily_data,unique_contacts,0,200,0.0,7.0,0,0,85000,0.0
daily_data,calls_total,0,200,0.0,5.0,0,0,85000,0.0
daily_data,gps_missing_pct,0,100,0.015,0.819,0,0,85000,0.0
daily_data,hr_missing_pct,0,100,0.02,0.921,0,0,85000,0.0
clinical_assessments,PHQ_score,0,27,0.0,27.0,0,0,7000,0.0
clinical_assessments,change_from_baseline,-27,27,-14.8,5.0,0,0,7000,0.0
clinical_assessments,percent_change_from_baseline,-200,100,-58.75,100.0,0,0,7000,0.0
