,missing_count,missing_percentage
therapy_adherence,25755,30.3
med_adherence,20910,24.6
WASO_min,1,0.0011764705882352942
sleep_efficiency,1,0.0011764705882352942
participant_id,0,0.0
screen_time,0,0.0
night_screen_time,0,0.0
app_sessions_total,0,0.0
app_sessions_social,0,0.0
unique_contacts,0,0.0
calls_total,0,0.0
call_duration_min,0,0.0
bedtime_variability_min,0,0.0
overall_adherence,0,0.0
gps_missing_pct,0,0.0
hr_missing_pct,0,0.0
gps_outage_flag,0,0.0
wearable_nonwear_flag,0,0.0
wake_variability_min,0,0.0
distance_traveled_km,0,0.0
date,0,0.0
location_entropy,0,0.0
time_at_home,0,0.0
sedentary_min,0,0.0
steps,0,0.0
resting_hr,0,0.0
avg_hrv,0,0.0
ema_stress,0,0.0
ema_energy,0,0.0
ema_anhedonia,0,0.0
life_event_flag,0,0.0
is_weekend,0,0.0
day_of_week,0,0.0
week,0,0.0
study_day,0,0.0
passive_dropout_flag,0,0.0
