,missing_count,missing_percentage
time_to_response_weeks,409,40.9
participant_id,0,0.0
treatment_start_date,0,0.0
sustained_improvement_flag,0,0.0
week12_treatment_review_decision,0,0.0
final_worsening_status,0,0.0
final_remission_status,0,0.0
final_response_status,0,0.0
final_percent_change_from_baseline,0,0.0
final_change_from_baseline,0,0.0
final_week12_PHQ_score,0,0.0
treatment_type,0,0.0
age,0,0.0
adherence_risk_profile,0,0.0
initial_severity_group,0,0.0
baseline_phq_score,0,0.0
wearable_type,0,0.0
device_phone_os,0,0.0
time_zone,0,0.0
site_region,0,0.0
ethnicity,0,0.0
sex,0,0.0
trajectory_group_derived,0,0.0
