variable_1,variable_2,pearson_correlation,n_used
PHQ_score,steps,-0.3774103899145451,43000
PHQ_score,sedentary_min,0.6006152201859517,43000
PHQ_score,sleep_efficiency,-0.6686805749085637,43000
PHQ_score,WASO_min,0.5560659024816025,43000
PHQ_score,time_at_home,0.3419662695142515,43000
PHQ_score,location_entropy,-0.5877554039142401,43000
PHQ_score,night_screen_time,0.7442192012278738,43000
PHQ_score,screen_time,0.36087476832026794,43000
PHQ_score,avg_hrv,-0.5591395289660703,43000
PHQ_score,resting_hr,0.44052733029199387,43000
PHQ_score,unique_contacts,-0.3573249502968454,43000
sleep_efficiency,steps,0.2774009312306269,84999
sleep_efficiency,sedentary_min,-0.45529164542310996,84999
steps,sedentary_min,-0.5303750852139156,85000
time_at_home,location_entropy,-0.2619827016915545,85000
night_screen_time,sleep_efficiency,-0.6087069330189511,84999
hr_missing_pct,avg_hrv,-0.11742225533817843,85000
