week,mean,std,count,median,standard_error,variable
0,14.9259,4.10002934781575,7000,14.8,0.04900472375620019,PHQ_score
1,,,0,,,PHQ_score
2,13.9371,4.205660517350175,7000,13.8,0.05026725771485016,PHQ_score
3,,,0,,,PHQ_score
4,12.422199999999998,4.488699756778229,7000,12.4,0.053650223680136735,PHQ_score
5,,,0,,,PHQ_score
6,11.283,4.762418617693713,7000,11.25,0.05692178981494282,PHQ_score
7,,,0,,,PHQ_score
8,9.648900000000001,4.877521644491658,7000,9.6,0.05829753412144169,PHQ_score
9,,,0,,,PHQ_score
10,8.5216,4.9754768536711405,7000,8.3,0.059468322805888214,PHQ_score
11,,,0,,,PHQ_score
12,6.9038,4.782649819848749,1000,6.5,0.15124066681716022,PHQ_score
0,0.7125940000000001,0.04253657503207511,7000,0.714,0.0005084093142143522,sleep_efficiency
1,0.6980941428571428,0.0463484737626313,7000,0.7,0.0005539702184008143,sleep_efficiency
2,0.7022871428571429,0.047546388629465086,7000,0.702,0.0005682880396046817,sleep_efficiency
3,0.7052284285714286,0.04694992474989914,7000,0.706,0.0005611589326717638,sleep_efficiency
4,0.7100047142857143,0.048697662464813184,7000,0.708,0.0005820483938565436,sleep_efficiency
5,0.7144298571428571,0.04935599771683237,7000,0.716,0.0005899170051340105,sleep_efficiency
6,0.7215161428571429,0.050280331695139104,7000,0.723,0.0006009649092885315,sleep_efficiency
7,0.7261299999999999,0.0511165595235292,7000,0.728,0.0006109597435326656,sleep_efficiency
8,0.7329187142857142,0.04959888074399546,7000,0.732,0.0005928200125618813,sleep_efficiency
9,0.7375867981140163,0.05072091459644734,6999,0.74,0.000606274189018747,sleep_efficiency
10,0.742856142857143,0.05121057739386902,7000,0.745,0.000612083472016854,sleep_efficiency
11,0.7485592857142858,0.05046524424549944,7000,0.751,0.0006031750369926881,sleep_efficiency
12,0.751389,0.05011799569508432,1000,0.752,0.0015848701815898015,sleep_efficiency
0,53.30594285714285,10.926404970808283,7000,53.2,0.1305955181828359,WASO_min
1,54.31888571428571,11.769182256819029,7000,53.5,0.1406686334182083,WASO_min
2,53.303357142857145,11.443030031067767,7000,52.9,0.1367703687060483,WASO_min
3,52.537728571428566,11.41505465450311,7000,52.1,0.1364359990017785,WASO_min
4,51.465700000000005,11.617702044545087,7000,51.1,0.13885809858362966,WASO_min
5,50.6305,11.383950560707122,7000,50.2,0.13606423397405462,WASO_min
6,49.92805714285715,11.325382452481549,7000,49.7,0.13536421118859665,WASO_min
7,48.89387142857142,11.370837153637886,7000,48.6,0.13590749878110464,WASO_min
8,47.83304285714286,11.18551782437669,7000,47.6,0.13369250913914824,WASO_min
9,47.23757679668524,11.144006942131496,6999,46.8,0.13320587424370486,WASO_min
10,46.43342857142857,11.092893542401857,7000,46.0,0.13258543722179447,WASO_min
11,45.30591428571429,11.006701611998214,7000,44.9,0.13155524661067253,WASO_min
12,44.8315,10.713217573669489,1000,44.1,0.3387816860173831,WASO_min
0,5300.953,1060.3322642352377,7000,5286.5,12.67339457614272,steps
1,5463.658142857143,1091.5272819535983,7000,5457.5,13.046246352599498,steps
2,5603.695285714286,1100.8956904244317,7000,5596.5,13.158220250882206,steps
3,5741.46,1129.0643354485806,7000,5733.5,13.494899955072682,steps
4,5968.84,1191.6097025502474,7000,5951.5,14.242460076485026,steps
5,6112.162285714286,1183.444415637695,7000,6101.5,14.144866231271964,steps
6,6296.945857142857,1205.8491147360112,7000,6300.0,14.412653604730323,steps
7,6489.027571428572,1239.7597397359457,7000,6467.0,14.81796309633364,steps
8,6712.306285714286,1249.8373668354395,7000,6711.5,14.938413778568828,steps
9,6886.955714285714,1286.4807148019297,7000,6910.0,15.376385556882271,steps
10,7070.395428571429,1258.2311600647897,7000,7084.0,15.038738796654394,steps
11,7252.647571428572,1237.9957607279275,7000,7268.0,14.796879514567154,steps
12,7355.917,1249.841539550109,1000,7429.0,39.523459792697636,steps
0,688.2878571428571,66.3219179076593,7000,688.0,0.7926985370916143,sedentary_min
1,699.94,67.73211565687214,7000,700.0,0.8095536240383959,sedentary_min
2,690.5138571428571,70.40642393620122,7000,690.0,0.8415177216947355,sedentary_min
3,677.4054285714286,70.56519259331351,7000,678.0,0.8434153701071976,sedentary_min
4,663.9467142857143,75.13836084916909,7000,663.0,0.8980751854541822,sedentary_min
5,651.6601428571429,78.51321891012155,7000,650.0,0.938412454523114,sedentary_min
6,638.0751428571429,80.25987978628318,7000,639.0,0.9592890450230485,sedentary_min
7,625.1337142857143,79.61963337326068,7000,626.0,0.9516366367243664,sedentary_min
8,608.227,82.69545058703365,7000,607.0,0.9883996840342129,sedentary_min
9,594.0197142857143,83.75978150164721,7000,592.0,1.0011208716236646,sedentary_min
10,579.1604285714286,82.9789477126387,7000,577.0,0.9917881227860851,sedentary_min
11,568.939,84.25825640491281,7000,566.0,1.007078786277847,sedentary_min
12,558.962,84.68979228287736,1000,558.5,2.678126381804435,sedentary_min
0,39.33531428571429,5.65185423132246,7000,39.4,0.06755257873064252,avg_hrv
1,39.50258571428571,5.082201884652629,7000,39.6,0.060743930909499956,avg_hrv
2,40.00418571428571,5.228019285463136,7000,40.1,0.06248678220137494,avg_hrv
3,40.73142857142857,5.2721684543119745,7000,40.9,0.06301446569823961,avg_hrv
4,41.6616,5.340038176531895,7000,41.7,0.06382566403528787,avg_hrv
5,42.34207142857143,5.341931916463033,7000,42.4,0.06384829855673123,avg_hrv
6,43.0831,5.567666472460819,7000,43.1,0.06654634255117073,avg_hrv
7,43.79094285714285,5.596300874692945,7000,43.8,0.06688858911876099,avg_hrv
8,44.854571428571425,5.693420874201276,7000,45.0,0.06804939513826999,avg_hrv
9,45.5677,5.653342213090509,7000,45.7,0.06757036351443592,avg_hrv
10,46.30125714285714,5.724006753395943,7000,46.4,0.0684149663168211,avg_hrv
11,47.019357142857146,5.6611590916828565,7000,47.0,0.0676637930837286,avg_hrv
12,47.706300000000006,5.899177112157302,1000,48.0,0.1865483599515165,avg_hrv
0,73.26508571428572,3.7848244315678325,7000,73.3,0.045237304419176574,resting_hr
1,73.32544285714286,3.180707817213047,7000,73.3,0.038016729810665846,resting_hr
2,72.95911428571428,3.174215181980147,7000,72.9,0.037939127976862504,resting_hr
3,72.76935714285715,3.122236045461793,7000,72.8,0.03731785846631015,resting_hr
4,72.45475714285715,3.2523314548848816,7000,72.4,0.03887279601916562,resting_hr
5,72.13952857142857,3.3377039308871335,7000,72.0,0.039893192276841676,resting_hr
6,71.72188571428572,3.3122037938194357,7000,71.7,0.039588407343189067,resting_hr
7,71.29041428571429,3.373505326950894,7000,71.3,0.04032110080513686,resting_hr
8,70.91898571428571,3.334204203966713,7000,70.9,0.03985136253944023,resting_hr
9,70.72308571428572,3.3730983455448085,7000,70.7,0.04031623644693665,resting_hr
10,70.24107142857143,3.3447414860578295,7000,70.2,0.03997730714963953,resting_hr
11,69.95724285714286,3.395210497187034,7000,69.9,0.04058052720950393,resting_hr
12,69.7794,3.4397394447032577,1000,69.7,0.10877411202785098,resting_hr
0,14.050182857142858,1.6266028579659264,7000,14.02,0.019441622718659644,time_at_home
1,13.791269999999999,1.4703722076948087,7000,13.79,0.017574309290070082,time_at_home
2,13.688421428571429,1.4930521597212196,7000,13.68,0.017845386565273062,time_at_home
3,13.6165,1.4718932666947089,7000,13.63,0.017592489422401745,time_at_home
4,13.545935714285715,1.4347814999914565,7000,13.55,0.01714891896933504,time_at_home
5,13.503367142857144,1.4535788655178508,7000,13.48,0.017373590459907662,time_at_home
6,13.459515714285715,1.4684972465772452,7000,13.42,0.017551899218379068,time_at_home
7,13.373038571428571,1.4796580810454854,7000,13.34,0.01768529670498393,time_at_home
8,13.325454285714285,1.4464605472613983,7000,13.31,0.017288510283603068,time_at_home
9,13.188102857142857,1.410445834448646,7000,13.18,0.016858052132495433,time_at_home
10,13.186544285714286,1.4324634753698011,7000,13.19,0.0171212132758856,time_at_home
11,13.168597142857141,1.4595500339020469,7000,13.17,0.017444959572747106,time_at_home
12,13.06225,1.4724490971995756,1000,13.03,0.04656292885809317,time_at_home
0,1.0464247142857144,0.21953170499755315,7000,1.047,0.0026239057446903378,location_entropy
1,1.0758148571428572,0.22725760212730955,7000,1.08,0.002716247877512931,location_entropy
2,1.1175272857142857,0.23479567707093765,7000,1.121,0.002806345105832242,location_entropy
3,1.155012,0.24106439478589628,7000,1.151,0.0028812706133998405,location_entropy
4,1.1913648571428572,0.2574345017052255,7000,1.19,0.0030769308146782926,location_entropy
5,1.2440438571428571,0.26546973346860503,7000,1.246,0.0031729702035405293,location_entropy
6,1.2882274285714286,0.26392481674105744,7000,1.289,0.0031545049168224875,location_entropy
7,1.341126,0.2738242853174355,7000,1.338,0.0032728261974194267,location_entropy
8,1.385946142857143,0.28604238470690857,7000,1.386,0.0034188604168393193,location_entropy
9,1.4312251428571428,0.2846322124806069,7000,1.432,0.003402005634949674,location_entropy
10,1.477457,0.28716581154953513,7000,1.486,0.003432287935867334,location_entropy
11,1.5207694285714286,0.2885316730284202,7000,1.528,0.0034486131030268463,location_entropy
